# WinterHam_2018_19.xlsx,,,,MLW,"Bill Engelke's plots, threshold=0",,,,
# CompareHam_2019.xlsx,,,, ,14 MHz,,,"For Hemispheres, SSW",
# WinterHam_2018_2019,,,,,20 meters,,,Sudden Stratospheric Warming,
date,start_time,end_time,low_range_km,high_range_km,tid_hours,range_km,cycles,period_hr,comment
4/11/2019,,,,,0,0,, ,flat m
4/12/2019,,,,,0,0,, ,flat
4/13/2019, , , , ,0,0, , ,curve
4/14/2019,,,,,0,0,, ,flat m
4/15/2019, , , , ,0,0, , ,mush
4/16/2019,,,,,0,0,, ,mush
4/17/2019, , , , ,0,0, , ,flat m
4/18/2019,,,,,0,0,, ,flat m
4/19/2019,,,,,0,0,, ,flat
4/20/2019,,,,,0,0,, ,flat
4/21/2019,,,,,0,0,, ,flat m
4/22/2019,,,,,0,0,, ,curve
4/23/2019,,,,,0,0,, ,curve m
4/24/2019,15,22,900,1400,7,500,6,1.17,choppy
4/25/2019,,,,,0,0,, ,curve
4/26/2019,15,21,1000,1200,6,200,6,1,m
4/27/2019,15,22,1100,1300,7,200,8,0.88,choppy
4/28/2019,,,,,0,0,, ,flat
4/29/2019,,,,,0,0,, ,curve
4/30/2019,,,,,0,0,, ,curve m
